日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d,5MA,10MA,20MA
111/03/01,11882510.0,798598413.0,66.8,67.5,66.8,67.5,+0.40,3974.0,False,,,,,,
111/03/02,6935405.0,469680489.0,67.4,68.0,67.1,68.0,+0.50,3160.0,False,,,,,,
111/03/03,5265647.0,357482915.0,67.7,68.1,67.5,68.0, 0.00,2896.0,False,,,,,,
111/03/04,6997281.0,470673723.0,67.0,67.8,66.7,67.2,-0.80,3813.0,False,,,,,,
111/03/07,13295933.0,881183892.0,66.7,67.0,66.0,66.2,-1.00,8635.0,False,,,,67.38,,
111/03/08,19074267.0,1244053436.0,66.1,66.2,64.5,65.4,-0.80,12913.0,False,,,,66.96,,
111/03/09,10921197.0,711117249.0,65.6,65.9,64.8,65.1,-0.30,6887.0,False,,,,66.38,,
111/03/10,7184228.0,473333660.0,65.5,66.1,65.3,66.0,+0.90,3631.0,False,,,,65.97999999999999,,
111/03/11,5686344.0,376559224.0,66.1,66.5,65.9,66.3,+0.30,2543.0,False,0.5,0.5,0.5,65.8,,
111/03/14,8368458.0,549995504.0,66.4,66.5,65.4,65.5,-0.80,5140.0,False,0.27777777777777823,0.4259259259259261,0.4753086419753086,65.66,66.52,
111/03/15,7748681.0,505812941.0,65.5,65.7,65.1,65.3,-0.20,3892.0,False,0.2222222222222218,0.3580246913580246,0.4362139917695473,65.64000000000001,66.29999999999998,
111/03/16,17599075.0,1143562056.0,65.1,65.4,64.5,65.3, 0.00,7939.0,False,0.2424242424242417,0.319491208380097,0.3973063973063972,65.68000000000002,66.02999999999999,
111/03/17,11979785.0,787488844.0,65.9,66.3,65.3,65.5,+0.20,5998.0,False,0.4,0.346327472253398,0.3803134222887308,65.58000000000001,65.77999999999999,
111/03/18,12565519.0,822646225.0,65.5,65.7,65.3,65.5, 0.00,3826.0,False,0.5,0.397551648168932,0.3860594975821311,65.42000000000002,65.60999999999999,
111/03/21,5973291.0,392571830.0,65.5,66.2,65.3,65.7,+0.20,2977.0,False,0.6000000000000014,0.4650344321126218,0.4123844757589613,65.46000000000001,65.55999999999997,
111/03/22,7155557.0,469083183.0,65.8,65.9,65.4,65.5,-0.20,3510.0,False,0.5,0.4766896214084144,0.4338195243087789,65.50000000000001,65.56999999999998,
111/03/23,7858336.0,516586199.0,65.9,66.2,65.5,65.9,+0.40,4204.0,False,0.7000000000000028,0.5511264142722772,0.4729218209632783,65.62000000000002,65.64999999999998,
111/03/24,5860825.0,384361771.0,65.7,65.8,65.5,65.6,-0.30,3824.0,False,0.5499999999999972,0.5507509428481838,0.4988648615915801,65.64000000000001,65.60999999999999,
111/03/25,9546228.0,624710397.0,65.3,65.6,65.2,65.5,-0.10,4818.0,False,0.5555555555555565,0.552352480417308,0.5166940678668227,65.64000000000001,65.52999999999999,
111/03/28,8648041.0,565082339.0,65.2,65.5,65.1,65.5, 0.00,3376.0,False,0.5555555555555565,0.5534201721300575,0.5289361026212342,65.60000000000001,65.52999999999999,66.025
111/03/29,4723750.0,309379006.0,65.5,65.8,65.2,65.6,+0.10,2942.0,False,0.4166666666666657,0.5078356703089268,0.5219026251837984,65.62,65.55999999999999,65.92999999999999
111/03/30,7978065.0,524253020.0,65.9,65.9,65.5,65.7,+0.10,4230.0,False,0.5454545454545491,0.5203752953574675,0.521393515241688,65.58,65.6,65.815
111/03/31,9849999.0,648580284.0,65.9,66.2,65.6,65.6,-0.10,3590.0,False,0.454545454545451,0.4984320150867953,0.5137396818567237,65.58,65.61,65.695
111/04/01,9380997.0,616298614.0,65.4,66.1,65.2,66.1,+0.50,2610.0,False,0.909090909090902,0.6353183130881641,0.5542658922672038,65.7,65.67,65.63999999999999
111/04/06,10620774.0,696598290.0,65.1,66.0,65.1,65.9,-0.20,4823.0,False,0.7272727272727321,0.66596978448302,0.5915005230058092,65.78,65.69,65.62499999999999
111/04/07,11727439.0,771319559.0,65.4,66.2,65.3,65.5,-0.40,5494.0,False,0.36363636363636603,0.5651919775341353,0.5827310078485846,65.75999999999999,65.69,65.62999999999998
111/04/08,4532395.0,298994354.0,65.5,66.2,65.5,66.0,+0.50,2691.0,False,0.8181818181818171,0.6495219244166959,0.6049946467046217,65.82,65.7,65.67499999999998
111/04/11,5679261.0,372752303.0,66.0,66.1,65.5,65.5,-0.50,3070.0,False,0.36363636363636603,0.5542267374899192,0.5880720102997208,65.8,65.69,65.64999999999999
111/04/12,6040724.0,396442263.0,65.6,65.9,65.5,65.7,+0.20,2945.0,False,0.5454545454545491,0.5513026734781291,0.5758155646925236,65.72,65.71000000000001,65.61999999999999
111/04/13,4253155.0,281033393.0,66.1,66.3,65.8,66.0,+0.30,2776.0,False,0.750000000000003,0.6175351156520871,0.5897220816790447,65.74000000000001,65.76,65.645
111/04/14,4370753.0,289356060.0,65.8,66.5,65.6,66.3,+0.30,3274.0,False,0.8571428571428557,0.6974043628156765,0.6256161753912552,65.9,65.83,65.695
111/04/15,11099897.0,747093097.0,66.3,68.0,66.2,67.4,+1.10,6494.0,False,0.7931034482758644,0.7293040579690725,0.6601788029171943,66.18000000000002,65.99999999999999,65.8
111/04/18,5068211.0,341237691.0,67.4,67.9,66.8,67.0,-0.40,3540.0,False,0.6551724137931041,0.7045935099104164,0.6749837052482683,66.48000000000002,66.13999999999999,65.875
111/04/19,3736083.0,250632382.0,67.4,67.6,66.8,66.8,-0.20,2816.0,False,0.555555555555555,0.6549141917921293,0.6682938674295553,66.70000000000002,66.20999999999998,65.94
111/04/20,6478426.0,435154672.0,66.5,67.5,66.5,67.3,+0.50,3547.0,False,0.7199999999999989,0.6766094611947524,0.6710657320179543,66.96000000000002,66.34999999999998,66.02
111/04/21,5737523.0,387476006.0,67.8,67.9,67.3,67.5,+0.20,3363.0,False,0.8,0.7177396407965015,0.6866237016108033,67.20000000000002,66.54999999999998,66.11999999999999
111/04/22,4996835.0,335994200.0,66.9,67.6,66.9,67.4,-0.10,3244.0,False,0.7600000000000022,0.7318264271976684,0.701691276806425,67.20000000000002,66.68999999999997,66.195
111/04/25,10152137.0,683271935.0,67.1,67.8,66.8,67.6,+0.20,4889.0,False,0.8333333333333314,0.7656620625762227,0.7230148720630242,67.32000000000002,66.89999999999998,66.29499999999999
111/04/26,8421790.0,574543355.0,68.0,68.6,67.8,68.2,+0.60,5457.0,False,0.8666666666666695,0.7993302639397049,0.7484533360219177,67.60000000000002,67.14999999999998,66.42999999999999
111/04/27,7972836.0,539405990.0,67.8,68.1,67.1,67.3,-0.90,5480.0,False,0.4583333333333326,0.6856646204042474,0.7275237641493608,67.60000000000002,67.27999999999997,66.52
111/04/28,9682182.0,660070102.0,68.0,68.5,67.6,68.3,+1.00,5030.0,False,0.8571428571428581,0.7428240326504509,0.7326238536497242,67.76000000000002,67.47999999999998,66.655
111/04/29,4259662.0,290741639.0,68.3,68.6,67.8,68.4,+0.10,2616.0,False,0.90476190476191,0.7968033233542706,0.7540170102179062,67.96000000000004,67.57999999999997,66.78999999999999
111/05/03,6157012.0,421376023.0,68.4,68.8,68.0,68.6,+0.20,3524.0,False,0.9130434782608682,0.8355500416564698,0.7811946873640941,68.16000000000004,67.73999999999998,66.94
111/05/04,3820185.0,260702555.0,68.3,68.6,68.0,68.2,-0.40,2445.0,False,0.7000000000000028,0.7903666944376475,0.7842520230552785,68.16000000000004,67.87999999999998,67.045
111/05/05,4191945.0,285386307.0,68.2,68.5,67.8,68.0,-0.20,3510.0,False,0.6000000000000014,0.7269111296250987,0.7651383919118853,68.30000000000004,67.94999999999999,67.15
111/05/06,9325471.0,628875942.0,67.3,68.0,67.2,67.3,-0.70,6566.0,False,0.25,0.5679407530833992,0.6994058456357233,68.10000000000004,67.92999999999998,67.24
111/05/09,6153179.0,410125219.0,66.5,67.3,66.4,66.5,-0.80,5517.0,False,0.04166666666666445,0.3925160576111543,0.5971092496275335,67.72000000000003,67.83999999999999,67.265
111/05/10,6404179.0,427734658.0,66.3,67.2,66.0,66.9,+0.40,3341.0,False,0.3214285714285738,0.3688202288836274,0.5210129093795648,67.38000000000002,67.76999999999998,67.33500000000001
111/05/11,5991632.0,397736231.0,66.4,67.3,66.1,66.3,-0.60,4613.0,False,0.10714285714285623,0.28159443830337033,0.4412067523541666,67.00000000000003,67.57999999999997,67.365
