日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,rsv,k,d
111/03/01,5457112.0,762927143.0,139.0,141.5,138.0,139.5,+3.00,3817.0,False,,,
111/03/02,7961820.0,1127653445.0,138.5,143.5,138.5,143.0,+3.50,5774.0,False,,,
111/03/03,11060271.0,1610654646.0,145.0,147.5,144.0,145.5,+2.50,10015.0,False,,,
111/03/04,6406232.0,929623810.0,144.0,147.0,143.5,144.5,-1.00,6318.0,False,,,
111/03/07,6394560.0,886020892.0,144.0,144.5,136.0,138.0,-6.50,9311.0,False,,,
111/03/08,17991402.0,2547670366.0,138.0,146.0,138.0,140.0,+2.00,14530.0,False,,,
111/03/09,17423187.0,2502696637.0,144.0,146.0,140.5,143.5,+3.50,15455.0,False,,,
111/03/10,19999938.0,2905727179.0,147.5,148.0,142.5,143.0,-0.50,18055.0,False,,,
111/03/11,6406660.0,920192881.0,143.5,146.0,142.0,143.0, 0.00,7479.0,False,0.5833333333333334,0.5277777777777778,0.5092592592592593
111/03/14,6850408.0,990980102.0,144.0,146.5,143.0,145.0,+2.00,4983.0,False,0.75,0.6018518518518519,0.5401234567901234
111/03/15,17733317.0,2532702484.0,146.5,147.0,138.5,138.5,-6.50,12332.0,False,0.2083333333333333,0.4706790123456789,0.5169753086419753
111/03/16,8665591.0,1198589193.0,142.0,142.5,135.5,137.0,-1.50,8096.0,False,0.12,0.35378600823045264,0.4625788751714677
111/03/17,26003147.0,3768131500.0,141.5,150.0,140.0,148.5,+11.50,15352.0,False,0.8965517241379308,0.5347079135329453,0.4866218879586269
111/03/18,44077185.0,6624762958.0,149.0,155.0,146.5,149.0,+0.50,29882.0,False,0.6923076923076923,0.5872411731245276,0.5201616496805938
111/03/21,29537856.0,4540340767.0,151.5,156.0,151.5,153.5,+4.50,22265.0,False,0.8780487804878049,0.6841770422456199,0.5748334472022691
111/03/22,35195607.0,5516607180.0,153.5,160.0,150.5,160.0,+6.50,24349.0,False,1.0,0.7894513614970801,0.6463727519672061
111/03/23,81792550.0,13964359764.0,163.5,175.5,162.5,175.5,+15.50,52470.0,False,1.0,0.8596342409980533,0.7174599149774884
111/03/24,61946445.0,10955424226.0,174.0,180.0,173.0,179.0,+3.50,36628.0,False,0.9775280898876404,0.8989321906279155,0.7779506735276307
111/03/25,42866430.0,7683399554.0,182.0,183.5,175.0,179.5,+0.50,25170.0,False,0.9166666666666666,0.9048436826408326,0.8202483432320312
111/03/28,43302360.0,7897533743.0,179.5,192.0,175.0,177.0,-2.50,27970.0,False,0.7345132743362832,0.8480668798726494,0.8295211887789038
111/03/29,42488844.0,8038462960.0,180.5,194.5,180.0,194.5,+17.50,26005.0,False,1.0,0.8987112532484329,0.8525845436020799
111/03/30,44892286.0,8882148968.0,199.0,205.0,188.0,190.5,-4.00,31970.0,False,0.7521367521367521,0.8498530862112059,0.8516740578051222
111/03/31,28497029.0,5556068998.0,195.0,198.5,191.0,191.0,+0.50,24362.0,False,0.7431192660550459,0.8142751461591525,0.8392077539231321
111/04/01,32967234.0,6041329296.0,188.5,189.0,178.5,183.0,-8.00,20635.0,False,0.5963302752293578,0.741626855849221,0.8066807878984951
111/04/06,24404139.0,4407022592.0,182.0,184.5,176.5,180.0,-3.00,14411.0,False,0.4117647058823529,0.6316728058602649,0.7483447938857515
111/04/07,44922954.0,7720502481.0,178.0,179.5,167.5,172.5,-7.50,26439.0,False,0.13333333333333333,0.4655596483512877,0.6540830787075969
111/04/08,35181833.0,6059389226.0,176.0,176.0,168.5,173.0,+0.50,21589.0,False,0.14666666666666667,0.3592619877897473,0.5558093817349803
111/04/11,30575859.0,5042905042.0,169.0,171.0,160.5,160.5,-12.50,19456.0,False,0.0,0.2395079918598315,0.4503755851099307
111/04/12,30826199.0,4940841267.0,160.5,163.5,157.5,159.0,-1.50,17408.0,False,0.03157894736842105,0.1701983103626947,0.35698316019418536
111/04/13,21961322.0,3593188019.0,162.5,165.5,161.5,163.5,+4.50,14013.0,False,0.1263157894736842,0.1555708033996912,0.289845707929354
111/04/14,21032568.0,3501838786.0,165.0,168.5,164.0,167.0,+3.50,13387.0,False,0.23170731707317074,0.18094964129085106,0.253547019049853
111/04/15,30949337.0,4884945654.0,165.5,165.5,153.0,156.5,-10.50,20526.0,False,0.09722222222222222,0.1530405016013081,0.22004484656700468
111/04/18,20053793.0,3103342445.0,151.0,157.5,150.5,156.0,-0.50,11510.0,False,0.16176470588235295,0.1559485696949897,0.19867942094299967
111/04/19,16163757.0,2572914628.0,159.0,161.5,157.5,158.0,+2.00,10965.0,False,0.25862068965517243,0.1901726096817173,0.19584381718923888
111/04/20,13841657.0,2204395047.0,161.0,161.5,157.0,159.5,+1.50,7846.0,False,0.35294117647058826,0.2444287986113409,0.2120388109966062
111/04/21,41497792.0,6914061524.0,161.0,171.5,161.0,166.5,+7.00,25274.0,False,0.7619047619047619,0.4169207863758145,0.28033280278967565
111/04/22,20192670.0,3244482625.0,162.0,163.5,158.0,159.5,-7.00,13862.0,False,0.42857142857142855,0.4208043337743525,0.3271566464512346
111/04/25,15142438.0,2297010986.0,153.0,155.0,148.5,149.0,-10.50,11184.0,False,0.021739130434782608,0.2877825993278292,0.3140319640767661
111/04/26,16339497.0,2409635981.0,151.0,153.0,143.5,143.5,-5.50,10635.0,False,0.0,0.1918550662185528,0.2733063314573616
111/04/27,20863651.0,2950421609.0,135.5,146.5,135.0,145.0,+1.50,12422.0,False,0.273972602739726,0.2192275783922772,0.2552800804356668
111/04/28,21207970.0,3057548119.0,145.0,149.0,139.0,143.5,-1.50,14477.0,False,0.2328767123287671,0.2237772897044405,0.2447791501919247
111/04/29,16451636.0,2421187206.0,148.0,151.0,145.0,146.0,+2.50,10597.0,False,0.3013698630136986,0.2496414808075265,0.24639992706379196
111/05/03,13389325.0,1998175129.0,145.5,151.5,145.0,151.5,+5.50,8691.0,False,0.4520547945205479,0.31711258537853365,0.26997081316870586
111/05/04,38423431.0,6112749735.0,156.0,163.0,154.0,162.5,+11.00,24903.0,False,0.7534246575342466,0.4625499427637713,0.33416385636706103
111/05/05,44421700.0,7464943679.0,168.5,171.0,166.0,168.0,+5.50,31294.0,False,0.9166666666666666,0.6139221840647364,0.4274166322662861
111/05/06,44174409.0,7438045264.0,161.5,172.0,161.5,171.5,+3.50,27852.0,False,0.9864864864864864,0.7381102848719864,0.5309811831348529
111/05/09,25656786.0,4252669931.0,170.0,170.0,162.0,163.0,-8.50,17672.0,False,0.7567567567567568,0.7443257755002431,0.6020960472566497
111/05/10,35462927.0,5891144109.0,159.0,170.0,159.0,168.0,+5.00,21855.0,False,0.8918918918918919,0.793514480964126,0.6659021918258085
111/05/11,21024117.0,3462845595.0,167.0,167.5,162.5,163.5,-4.50,17402.0,False,0.7424242424242424,0.7764844014508314,0.7027629283674828
111/05/12,28074306.0,4653514493.0,164.0,169.0,163.0,163.0,-0.50,18580.0,False,0.6666666666666666,0.7398784898561098,0.7151347821970251
111/05/13,32369790.0,5435097869.0,167.0,170.5,165.5,166.5,+3.50,20720.0,False,0.7962962962962963,0.758684425336172,0.729651329910074
111/05/16,38864720.0,6640909232.0,170.0,175.5,167.0,167.5,+1.00,26967.0,False,0.627906976744186,0.7150919424721767,0.7247982007641082
111/05/17,20755722.0,3520370651.0,169.0,171.5,167.0,171.5,+4.00,14750.0,False,0.7575757575757576,0.7292532141733703,0.7262832052338621
111/05/18,25336355.0,4383642032.0,174.5,175.0,171.0,171.5, 0.00,16476.0,False,0.7575757575757576,0.7386940619741659,0.7304201574806299
111/05/19,19964360.0,3409764301.0,167.0,174.0,166.0,173.5,+2.00,12885.0,False,0.8787878787878788,0.7853920009120703,0.7487441052911101
111/05/20,30711806.0,5384279512.0,175.0,179.0,171.0,175.0,+1.50,22067.0,False,0.8,0.7902613339413802,0.7625831815078667
111/05/23,22763826.0,3972768376.0,176.5,178.5,171.5,172.0,-3.00,17255.0,False,0.5757575757575758,0.7187600812134454,0.7479754814097261
111/05/24,25984342.0,4300846019.0,172.0,172.5,160.5,160.5,-11.50,25506.0,False,0.0,0.4791733874756302,0.6583747834316942
111/05/25,19964210.0,3236616923.0,162.0,164.5,158.0,164.0,+3.50,13843.0,False,0.2857142857142857,0.4146870202218487,0.5771455290284123
111/05/26,11735453.0,1903405224.0,164.0,164.5,160.0,160.5,-3.50,8332.0,False,0.11904761904761905,0.3161405531637721,0.4901438704068655
